text,label
"Segue em anexo a nota fiscal do serviço prestado.",Produtivo
"Poderíamos agendar uma reunião para discutir o projeto na terça-feira?",Produtivo
"Gostaria de solicitar um orçamento para o desenvolvimento do site.",Produtivo
"O sistema apresentou erro ao tentar cadastrar um novo cliente.",Produtivo
"Confirmo minha presença no workshop de amanhã.",Produtivo
"Favor enviar os dados bancários para pagamento.",Produtivo
"Segue o contrato assinado conforme combinado.",Produtivo
"Estou com dúvidas sobre a integração da API, podem me ajudar?",Produtivo
"Solicito o cancelamento da minha assinatura mensal.",Produtivo
"Quando será entregue o relatório de métricas deste mês?",Produtivo
"Preciso alterar minha senha de acesso, como procedo?",Produtivo
"Encaminho o briefing para a campanha de marketing.",Produtivo
"Temos interesse em contratar sua consultoria.",Produtivo
"O boleto venceu, poderiam atualizar a data?",Produtivo
"Gostaria de saber se há vagas abertas na equipe de design.",Produtivo
"Precisamos alinhar os custos do novo projeto urgente.",Produtivo
"O servidor de produção está instável, favor verificar.",Produtivo
"Aprovamos a proposta comercial, aguardamos o início.",Produtivo
"Cliente x reclamou que a funcionalidade Y não funciona.",Produtivo
"Segue o comprovante de transferência referente ao pedido #1234.",Produtivo
"Solicitação de férias para o período de dezembro.",Produtivo
"Confirmando o recebimento da mercadoria, tudo certo.",Produtivo
"Por favor, revisem o documento em anexo antes da reunião.",Produtivo
"Gostaria de marcar uma demo da plataforma para minha equipe.",Produtivo
"Erro 500 na rota de login, logs em anexo.",Produtivo
"Qual o prazo para entrega dos wireframes?",Produtivo
"Precisamos renovar a licença do software.",Produtivo
"Segue minuta do contrato para análise jurídica.",Produtivo
"O fornecedor atrasou a entrega, precisamos de um plano B.",Produtivo
"Candidato enviou currículo para a vaga de Desenvolvedor.",Produtivo
"Solicito reembolso das despesas de viagem.",Produtivo
"O dashboard não está atualizando os dados em tempo real.",Produtivo
"Paranbéns! Você ganhou um carro zero km, clique aqui.",Improdutivo
"Desconto imperdível: 90% off em toda a loja só hoje.",Improdutivo
"Aumente seu score de crédito em poucos dias.",Improdutivo
"Conheça o segredo para enriquecer rápido sem esforço.",Improdutivo
"Você foi selecionado para uma oportunidade única de investimento.",Improdutivo
"Veja as fotos da festa de ontem neste link suspeito.",Improdutivo
"Seu acesso foi bloqueado, digite sua senha para liberar.",Improdutivo
"Newsletter semanal com fofocas das celebridades.",Improdutivo
"Oferta exclusiva: compre seguidores para seu Instagram.",Improdutivo
"Emagreça 10kg em uma semana com este método milagroso.",Improdutivo
"Quer namorar alguém rico? Cadastre-se agora.",Improdutivo
"Viagra natural com preço promocional.",Improdutivo
"Resgate seus pontos do cartão agora ou perca tudo.",Improdutivo
"Oportunidade de negócio multinível, seja seu patrão.",Improdutivo
"Sua fatura está atrasada (link falso de banco).",Improdutivo
"Conheça as mulheres solteiras da sua região.",Improdutivo
"Emprestimo pré-aprovado sem consulta ao SPC/Serasa.",Improdutivo
"Ganhe um iPhone respondendo essa pesquisa rápida.",Improdutivo
"Seus dados bancários precisam ser atualizados urgentemente.",Improdutivo
"Não perca a chance de ficar milionário com criptomoedas.",Improdutivo
"Confira quem visitou seu perfil hoje.",Improdutivo
"Cupom de desconto expirando, use agora!",Improdutivo
"Aumente o tráfego do seu site com nossos serviços de SEO duvidosos.",Improdutivo
"Venda seu carro usado por um preço acima da tabela.",Improdutivo
"Curso de inglês fluente em 24 horas, garantido.",Improdutivo
"Limpe seu nome sujo pagando apenas 1% da dívida.",Improdutivo
"Você tem uma herança para receber de um parente distante.",Improdutivo
Assine agora e ganhe brindes exclusivos.,Improdutivo
"URGENTE: Sua conta será encerrada em 2 horas.",Improdutivo
